Fields,sub,WT_ETH,WT_BNB,Sonny_BTC,Moon_Rocket_CAKE,ETH_Infinity,Moon_Rocket_BNB,Ultimate_Scalper_BNB,Moon_Rocket_ETH,SuperTrader_ETH,SuperTrader_BNB
_name (string),,WT_ETH,WT_BNB,Sonny_BTCP,Moon_Cake,ETH_Infinity,Moon_BNB,Ultimate_BNB,Moon_ETH,ST_ETH,Ultimate_BNB
_quoteToken (address),,0xe9e7cea3dedca5984780bafc599bd69add087d56,0xe9e7cea3dedca5984780bafc599bd69add087d56,0xe9e7cea3dedca5984780bafc599bd69add087d56,0xe9e7cea3dedca5984780bafc599bd69add087d56,0xe9e7cea3dedca5984780bafc599bd69add087d56,0xe9e7cea3dedca5984780bafc599bd69add087d56,0xe9e7cea3dedca5984780bafc599bd69add087d56,0xe9e7cea3dedca5984780bafc599bd69add087d56,0xe9e7cea3dedca5984780bafc599bd69add087d56,0xe9e7cea3dedca5984780bafc599bd69add087d56
_baseToken (address),,0x2170ed0880ac9a755fd29b2688956bd959f933f8,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c,0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,0x2170ed0880ac9a755fd29b2688956bd959f933f8,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x2170ed0880ac9a755fd29b2688956bd959f933f8,0x2170ed0880ac9a755fd29b2688956bd959f933f8,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c
_quotePriceFeed (address),,0xcBb31E647D42e09BAd6523B12600b3f19e30cea1,0xcBb31E647D42e09BAd6523B12600b3f19e30cea1,0xcBb31E647D42e09BAd6523B12600b3f19e30cea1,0xcBb31E647D42e09BAd6523B12600b3f19e30cea1,0xcBb31E647D42e09BAd6523B12600b3f19e30cea1,0xcBb31E647D42e09BAd6523B12600b3f19e30cea1,0xcBb31E647D42e09BAd6523B12600b3f19e30cea1,0xcBb31E647D42e09BAd6523B12600b3f19e30cea1,0xcBb31E647D42e09BAd6523B12600b3f19e30cea1,0xcBb31E647D42e09BAd6523B12600b3f19e30cea1
_basePriceFeed (address),,0x9ef1B8c0E4F7dc8bF5719Ea496883DC6401d5b2e,0x0567F2323251f0Aab15c8dFb1967E4e8A7D42aeE,0x264990fbd0A4796A3E3d8E37C4d5F87a3aCa5Ebf,0xB6064eD41d4f67e353768aA239cA86f4F73665a1,0x9ef1B8c0E4F7dc8bF5719Ea496883DC6401d5b2e,0x0567F2323251f0Aab15c8dFb1967E4e8A7D42aeE,0x0567F2323251f0Aab15c8dFb1967E4e8A7D42aeE,0x9ef1B8c0E4F7dc8bF5719Ea496883DC6401d5b2e,0x9ef1B8c0E4F7dc8bF5719Ea496883DC6401d5b2e,0x0567F2323251f0Aab15c8dFb1967E4e8A7D42aeE
_strategist (address),,0x12cA989fce892bc77EEAC6b4E2e609Cb9050FcCA,0x12cA989fce892bc77EEAC6b4E2e609Cb9050FcCA,0x12cA989fce892bc77EEAC6b4E2e609Cb9050FcCA,0x12cA989fce892bc77EEAC6b4E2e609Cb9050FcCA,0x12cA989fce892bc77EEAC6b4E2e609Cb9050FcCA,0x12cA989fce892bc77EEAC6b4E2e609Cb9050FcCA,0x12cA989fce892bc77EEAC6b4E2e609Cb9050FcCA,0x12cA989fce892bc77EEAC6b4E2e609Cb9050FcCA,0x12cA989fce892bc77EEAC6b4E2e609Cb9050FcCA,0x12cA989fce892bc77EEAC6b4E2e609Cb9050FcCA
_maxCap (uint256),,5000000000000000000000000,5000000000000000000000000,5000000000000000000000000,5000000000000000000000000,5000000000000000000000000,5000000000000000000000000,5000000000000000000000000,5000000000000000000000000,5000000000000000000000000,5000000000000000000000000
_uniswapPath (address[]),0,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,0xe9e7cea3dedca5984780bafc599bd69add087d56,0xe9e7cea3dedca5984780bafc599bd69add087d56,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,0xe9e7cea3dedca5984780bafc599bd69add087d56,0xe9e7cea3dedca5984780bafc599bd69add087d56,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,0xe9e7cea3dedca5984780bafc599bd69add087d56
_uniswapPath (address[]),1,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c
